timestamp,machine_id,temperature,vibration,pressure,status
2024-01-01 00:00:00,M001,74.76,0.769,7.56,normal
2024-01-01 00:00:10,M002,76.17,0.826,6.826,normal
2024-01-01 00:00:20,M003,76.71,0.462,6.753,normal
2024-01-01 00:00:30,M004,79.37,0.343,7.147,normal
2024-01-01 00:00:40,M005,82.8,2.355,3.385,normal
2024-01-01 00:00:50,M006,82.18,2.64,4.577,normal
2024-01-01 00:01:00,M007,80.16,2.675,2.008,normal
2024-01-01 00:01:10,M008,72.7,0.204,6.062,normal
2024-01-01 00:01:20,M009,81.18,2.053,5.723,normal
2024-01-01 00:01:30,M010,84.47,1.243,6.847,normal
2024-01-01 00:01:40,M001,71.46,2.383,7.228,normal
2024-01-01 00:01:50,M002,78.15,2.048,4.742,normal
2024-01-01 00:02:00,M003,80.0,2.036,6.355,normal
2024-01-01 00:02:10,M004,80.49,0.406,2.247,normal
2024-01-01 00:02:20,M005,78.06,2.749,4.892,normal
2024-01-01 00:02:30,M006,72.82,2.654,4.708,normal
2024-01-01 00:02:40,M007,77.5,1.194,3.228,normal
2024-01-01 00:02:50,M008,72.23,0.577,2.968,normal
2024-01-01 00:03:00,M009,83.66,0.256,7.701,normal
2024-01-01 00:03:10,M010,81.61,2.65,6.849,normal
2024-01-01 00:03:20,M001,65.22,1.421,7.26,normal
2024-01-01 00:03:30,M002,72.47,1.406,6.56,normal
2024-01-01 00:03:40,M003,75.11,1.64,4.504,normal
2024-01-01 00:03:50,M004,79.74,0.372,2.562,normal
2024-01-01 00:04:00,M005,77.15,1.976,2.008,normal
2024-01-01 00:04:10,M006,83.57,2.362,7.606,normal
2024-01-01 00:04:20,M007,79.95,0.81,2.538,normal
2024-01-01 00:04:30,M008,77.84,2.648,3.507,normal
2024-01-01 00:04:40,M009,78.76,0.424,5.061,normal
2024-01-01 00:04:50,M010,83.19,2.909,4.385,normal
2024-01-01 00:05:00,M001,75.12,0.749,4.349,normal
2024-01-01 00:05:10,M002,75.83,0.689,7.455,normal
2024-01-01 00:05:20,M003,81.09,2.333,4.759,normal
2024-01-01 00:05:30,M004,69.74,2.821,3.521,normal
2024-01-01 00:05:40,M005,74.83,2.856,4.461,normal
2024-01-01 00:05:50,M006,80.6,1.504,2.547,normal
2024-01-01 00:06:00,M007,79.86,0.975,3.442,normal
2024-01-01 00:06:10,M008,83.54,2.787,3.093,normal
2024-01-01 00:06:20,M009,81.38,2.963,5.693,normal
2024-01-01 00:06:30,M010,68.4,1.244,6.011,normal
